feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Moraxella	first_hosp_upto_100days_post	yes	-2.72557428713028	0.362985421073846	462	458	6.51980101737549e-13	5.54183086476917e-11
Helcococcus	age_days_numeric	age_days_numeric	0.25272727903029	0.0507998800298787	462	60	9.89236596862323e-07	4.20425553666487e-05
Corynebacterium	collection_season2	winter	1.437393549433	0.299635821707816	462	383	2.19500508738097e-06	6.21918108091274e-05
Neisseria	collection_season2	winter	-0.98376508158339	0.237281685795866	462	115	4.04586640616477e-05	0.000859746611310013
Corynebacterium	collection_season2	autumn	1.34854233314801	0.33662500644238	462	383	7.27736778594586e-05	0.0012371525236108
Streptobacillus	collection_season2	winter	-0.609530561573641	0.161612374626396	462	44	0.000183862340045942	0.00260471648398418
Helcococcus	collection_season2	winter	0.569320365598817	0.154523957154386	462	60	0.000259134305238653	0.0031466308493265
ASV_22	age_days_numeric	age_days_numeric	-0.255270250034893	0.0765284865616396	462	154	0.000934581192624776	0.00992992517163824
Porphyromonas	collection_season2	winter	-0.625148387886476	0.1985269305951	462	79	0.00174643592679811	0.0134951867070763
Neisseria	collection_season2	autumn	-0.859254425214419	0.27245518246074	462	115	0.00171945197603769	0.0134951867070763
Moraxella	collection_season2	autumn	0.718403368607549	0.225628352316492	462	458	0.00155397461425059	0.0134951867070763
Helcococcus	collection_season2	spring	0.472379834976886	0.154258548079409	462	60	0.00233912026668197	0.016568768555664
Corynebacterium	collection_season2	spring	0.865081476285359	0.300609532474939	462	383	0.00419972514119179	0.0274597413077925
Neisseria	collection_season2	spring	-0.67880561037483	0.240590700108967	462	115	0.00499004001832767	0.0302966715398465
Haemophilus	collection_season2	spring	1.0386644729214	0.389749901555894	462	381	0.00798478091585692	0.0452470918565226
ASV_35	age_days_numeric	age_days_numeric	-0.140862645542269	0.0542610455935963	462	41	0.00979355542421769	0.0520282631911565
Alloprevotella	collection_season2	winter	-0.38001085515297	0.154909793911931	462	45	0.0145555288069449	0.0687344415883508
Haemophilus	age_days_numeric	age_days_numeric	0.323210570917887	0.131094032945153	462	381	0.0141215295057186	0.0687344415883508
Streptococcus	collection_season2	winter	-0.701194364012401	0.293294285983433	462	394	0.0172189078062195	0.0770319559751927
Corynebacterium	age_days_numeric	age_days_numeric	-0.23862370930551	0.101610390294894	462	383	0.0193638401030554	0.0783774480361767
Fusobacterium	collection_season2	autumn	-0.568972286964985	0.240556494800294	462	62	0.0184510536389707	0.0783774480361767
Staphylococcus	first_hosp_upto_100days_post	yes	0.806239182292116	0.348434450375131	462	59	0.0214746154027208	0.0829701049650575
Alloprevotella	age_days_numeric	age_days_numeric	0.130115722279394	0.0569686647859587	462	45	0.0229165558578468	0.0846916194746513
Fusobacterium	collection_season2	winter	-0.470036099657652	0.21230769667266	462	62	0.0273274119505044	0.0902778517282157
Streptobacillus	collection_season2	spring	-0.36563770936397	0.163764651019473	462	44	0.0260532653641983	0.0902778517282157
Acinetobacter	collection_season2	winter	0.333475372075774	0.15193214818988	462	41	0.0286764940783744	0.0902778517282157
Moraxella	collection_season2	winter	0.43612492911931	0.197800323241769	462	458	0.0279626612384426	0.0902778517282157
Prevotella	age_days_numeric	age_days_numeric	-0.111806995180581	0.0521660255188752	462	30	0.0327188008601544	0.0993249311826114
Prevotella	first_hosp_upto_100days_post	yes	0.600843283932279	0.283507659835207	462	30	0.0347696455087494	0.101548799559984
ASV_35	collection_season2	winter	-0.320338690515888	0.152177911674754	462	41	0.0358407527858767	0.101548799559984
ASV_35	collection_season2	spring	-0.318954654109484	0.154126626849022	462	41	0.0390682803539662	0.107122704196359
Streptobacillus	age_days_numeric	age_days_numeric	-0.111909306015438	0.057767662439751	462	44	0.0534524867471694	0.141983167922169
ASV_35	collection_season2	autumn	-0.31886202268184	0.17435306913874	462	41	0.0680866768495438	0.17537477370337
Porphyromonas	collection_season2	spring	-0.349130044755282	0.200522478240124	462	79	0.08234214093249	0.205855352331225
Dolosigranulum	collection_season2	autumn	0.598932717045791	0.350397167446545	462	381	0.0881017637829289	0.21396142632997
Corynebacterium	first_hosp_upto_100days_post	yes	-0.98297979185057	0.582251401928033	462	383	0.0921433467707432	0.217560679875366
Streptococcus	collection_season2	spring	-0.478853260738474	0.295385163854976	462	394	0.10569209611241	0.242806166744725
Dolosigranulum	collection_season2	winter	0.492419020190407	0.30949806118773	462	381	0.112297943342243	0.244751927797196
Streptobacillus	collection_season2	autumn	-0.296806268784944	0.185345412975145	462	44	0.109996067295058	0.244751927797196
Neisseria	first_hosp_upto_100days_post	yes	0.672392556430973	0.426316073918888	462	115	0.115892761008697	0.246272117143482
